Date start:01/01/2019;Date stop:30/06/2019
Data;Marsica II.L1.V1.Status.WTG Event;Marsica II.L1.V2.Status.WTG Event;Marsica II.L2.CM2.Status.WTG Event;Marsica II.L2.CM3.Status.WTG Event;Marsica II.L3.G1.Status.WTG Event;Marsica II.L3.G2.Status.WTG Event;Marsica II.L4.MC1.Status.WTG Event;Marsica II.L4.MC2.Status.WTG Event;Marsica II.L5.A1.Status.WTG Event;Marsica II.L5.A4.Status.WTG Event;Marsica II.L5.A6.Status.WTG Event;Marsica II.L6.A2.Status.WTG Event;Marsica II.L6.A3.Status.WTG Event;Marsica II.L6.A5.Status.WTG Event;
2019/01/02 16:12:26;;;;;;;;;;;891;;;;
2019/01/02 16:13:57;;;;;;;;;;;0;;;;
2019/01/02 16:25:20;;;;;;;;;;;;;0;;
2019/01/02 16:25:32;;;;;;;891;;;;;;;;
2019/01/02 16:51:46;;;;;;;;831;;;;;;;
2019/01/02 16:53:37;;;;;;;0;;;;;;;;
2019/01/02 16:54:27;;;;;;;;0;;;;;;;
2019/01/02 17:00:54;;;;;;;892;;;;;;;;
2019/01/02 17:06:11;;;;;;;891;;;;;;;;
2019/01/02 17:06:29;;;;;;;891;;;;;;;;
2019/01/02 17:07:12;;;;;;;224;;;;;;;;
2019/01/02 17:08:47;;;;;;;831;;;;;;;;
2019/01/02 17:12:39;;;;;;;;831;;;;;;;
2019/01/02 17:16:55;;;;;;;;224;;;;;;;
2019/01/02 17:17:20;;;;;;;;0;;;;;;;
2019/01/02 17:20:06;;;;;;;;831;;;;;;;
2019/01/02 17:23:28;;;;;;;;224;;;;;;;
2019/01/02 17:23:48;;;;;;;;0;;;;;;;
2019/01/02 17:24:18;;;;;;;224;;;;;;;;
2019/01/02 17:24:33;;;;;;;;335;;;;;;;
2019/01/02 17:25:33;;;;;;;;224;;;;;;;
2019/01/02 17:26:18;;;;;;;;0;;;;;;;
2019/01/02 17:28:12;;;;;;;;0;;;;;;;
2019/01/02 18:05:37;;;;;;;0;;;;;;;;
2019/01/02 21:09:23;;;;;891;;;;;;;;;;
2019/01/02 21:15:35;;;;;;;831;;;;;;;;
2019/01/02 21:16:55;;;;;;;224;;;;;;;;
2019/01/02 21:17:10;;;;;;;0;;;;;;;;
2019/01/02 21:18:41;;;;;;;831;;;;;;;;
2019/01/02 21:19:21;;;;;;;;891;;;;;;;
2019/01/02 21:19:52;;;;;;;0;;;;;;;;
2019/01/02 21:20:53;;;831;;;;;;;;;;;;
2019/01/02 21:21:47;;;;;;;831;;;;;;;;
2019/01/02 21:24:43;;;;;;;0;;;;;;;;
2019/01/02 21:26:28;;;;;;;0;;;;;;;;
2019/01/02 21:26:49;;;;;;;891;;;;;;;;
2019/01/02 21:27:16;;;;;0;;;;;;;;;;
2019/01/02 21:28:00;;;;;;;224;;;;;;;;
2019/01/02 21:28:20;;;;;;;0;;;;;;;;
2019/01/02 21:28:25;;;;;;;;0;;;;;;;
2019/01/02 21:34:42;;;;;;;891;;;;;;;;
2019/01/02 21:37:43;;;;;;;224;;;;;;;;
2019/01/02 21:37:44;;;0;;;;;;;;;;;;
2019/01/02 21:37:53;;;;;;;0;;;;;;;;
2019/01/02 21:46:31;;;;;;;892;;;;;;;;
2019/01/02 21:47:05;;;;;;;;;;;;891;;;
2019/01/02 21:48:26;;;;;;;;;;;;;144;;
2019/01/02 21:50:49;;;831;;;;;;;;;;;;
2019/01/02 21:51:39;;;;;;;;;;;892;;;;
2019/01/02 21:52:09;;;831;;;;;;;;;;;;
2019/01/02 21:52:09;;;;;;;;;;;892;;;;
2019/01/02 21:54:29;;;;;;;;;;;891;;;;
2019/01/02 21:54:49;;;;;;;;;;;224;;;;
2019/01/02 21:55:32;;;;;;;;;;;;0;;;
2019/01/02 21:56:12;;;;;;;;;;;224;;;;
2019/01/02 21:56:13;;;;;;;;;;;;0;;;
2019/01/02 21:57:09;;;;;;;891;;;;;;;;
2019/01/02 21:57:20;;;;;;;;;;;0;;;;
2019/01/02 21:57:24;;;;;;;224;;;;;;;;
2019/01/02 22:00:21;;;;;;;0;;;;;;;;
2019/01/02 22:01:01;;;;;;;318;;;;;;;;
2019/01/02 22:01:55;;;;;;;318;;;;;;;;
2019/01/02 22:02:01;;;;;;;224;;;;;;;;
2019/01/02 22:02:11;;;;;;;0;;;;;;;;
2019/01/02 22:05:13;;;;;;;;891;;;;;;;
2019/01/02 22:06:08;;;;;;;891;;;;;;;;
2019/01/02 22:06:54;;;;;;;;891;;;;;;;
2019/01/02 22:06:54;;;;;;;891;;;;;;;;
2019/01/02 22:07:48;;;;;;;224;;;;;;;;
2019/01/02 22:08:13;;;;;;;;;;;891;;;;
2019/01/02 22:08:19;;;;;;;;0;;;;;;;
2019/01/02 22:09:04;;;;;;;;318;;;;;;;
2019/01/02 22:09:09;;;;;;;;;;;0;;;;
2019/01/02 22:10:09;;;;;;;;0;;;;;;;
2019/01/02 22:10:24;;;;;;;0;;;;;;;;
2019/01/02 22:11:05;;;;;;;;892;;;;;;;
2019/01/02 22:11:25;;;;;;;;891;;;;;;;
2019/01/02 22:12:20;;;;;;;;224;;;;;;;
2019/01/02 22:12:54;;;;;;;;224;;;;;;;
2019/01/02 22:13:52;;;;;;;;;;;;;0;;
2019/01/02 22:14:41;;;;;;;;0;;;;;;;
2019/01/02 22:15:36;;;;;;;891;891;;;;;;;
2019/01/02 22:17:12;;;;;;;224;;;;;;;;
2019/01/02 22:17:52;;;;;;;0;;;;;;;;
2019/01/02 22:17:57;;;;;;;;0;;;;;;;
2019/01/02 22:19:03;;;;;;;;891;;;;;;;
2019/01/02 22:21:58;;;;;;;892;;;;;;;;
2019/01/02 22:24:04;;;;;;;892;;;;;;;;
2019/01/02 22:38:58;;;;;;;;;;;;;144;;
2019/01/02 22:40:07;;;;;;;;;;;;;144;;
2019/01/02 22:49:23;;;;;;;;0;;;;;;;
2019/01/02 22:50:19;;;;;;;;892;;;;;;;
2019/01/02 22:52:06;;;;;;;;892;;;;;;;
2019/01/02 22:59:43;;;;;;;;;;;;;0;;
2019/01/02 23:00:08;;;;;;;;891;;;;;;;
2019/01/02 23:00:18;;;;;;;;224;;;;;;;
2019/01/02 23:00:27;;;;;;891;;;;;;;;;
2019/01/02 23:00:33;;;;;;;224;;;;;;;;
2019/01/02 23:03:14;;;;;;;0;;;;;;;;
2019/01/02 23:03:34;;;;;;;;0;;;;;;;
2019/01/02 23:03:58;;;;;;144;;;;;;;;;
2019/01/02 23:04:35;;;;;;;;891;;;;;;;
2019/01/02 23:05:23;;;;;;0;;;;;;;;;
2019/01/02 23:06:10;;;;;;;891;;;;;;;;
2019/01/02 23:24:42;;;;;;;;224;;;;;;;
2019/01/02 23:25:07;;;;;;;224;;;;;;;;
2019/01/02 23:25:17;;;;;;;;0;;;;;;;
2019/01/02 23:25:43;;;;;;;;891;;;;;;;
2019/01/02 23:25:53;;;;;;;0;;;;;;;;
2019/01/02 23:26:23;;;;;;;;0;;;;;;;
2019/01/02 23:27:08;;;;;;;;318;;;;;;;
2019/01/02 23:28:03;;;;;;;;0;;;;;;;
2019/01/02 23:28:49;;;;;;;;318;;;;;;;
2019/01/02 23:29:54;;;;;;;;0;;;;;;;
2019/01/02 23:30:49;;;;;;;;892;;;;;;;
2019/01/02 23:33:11;;;;;;;;;;;;;144;;
2019/01/02 23:37:06;;;;;;;;891;;;;;;;
2019/01/02 23:37:11;;;;;;;;224;;;;;;;
2019/01/02 23:37:16;;;;;;;891;;;;;;;;
2019/01/02 23:38:02;;;;;;;224;;;;;;;;
2019/01/02 23:39:02;;;;;;;0;;;;;;;;
2019/01/02 23:39:17;;;;;;;;0;;;;;;;
2019/01/02 23:40:17;;;;;;;;891;;;;;;;
2019/01/02 23:40:28;;;;;;;;156;;;;;;;
2019/01/02 23:44:59;;;;;;;892;;;;;;;;
2019/01/02 23:45:14;;;;;;;338;;;;;;;;
2019/01/02 23:50:21;;;;;;;891;;;;;;;;
2019/01/02 23:50:31;;;;;;;223;;;;;;;;
2019/01/02 23:50:56;;;;;;;;891;;;;;;;
2019/01/02 23:51:01;;;;;;;;223;;;;;;;
2019/01/02 23:51:42;;;;;;;;309;;;;;;;
2019/01/02 23:51:52;;;;;;;309;;;;;;;;
2019/01/02 23:52:37;;;;;;;;224;;;;;;;
2019/01/02 23:52:42;;;;;;;;0;;;;;;;
2019/01/02 23:53:17;;;;;;;;318;;;;;;;
2019/01/02 23:53:57;;;;;;;831;;;;;;;;
2019/01/02 23:54:02;;;;;;;224;;;;;;;;
2019/01/02 23:54:07;;;;;;;831;;;;;;;;
2019/01/02 23:54:23;;;;;;;;224;;;;;;;
2019/01/02 23:54:43;;;;;;;;0;;;;;;;
2019/01/02 23:55:28;;;;;;;224;;;;;;;;
2019/01/02 23:55:33;;;;;;;;891;;;;;;;
2019/01/02 23:55:53;;;;;;;0;;;;;;;;
2019/01/02 23:56:23;;;;;;;;0;;;;;;;
2019/01/02 23:57:09;;;;;;;;318;;;;;;;
2019/01/02 23:57:24;;;;;;;891;;;;;;;;
2019/01/02 23:58:14;;;;;;;;0;;;;;;;
2019/01/02 23:59:05;;;;;;;;892;;;;;;;
2019/01/03 00:00:37;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2019/01/03 00:00:47;;0;;;;;891;892;;;;;;;
2019/01/03 00:00:50;;;;;;;;;;;;0;144;0;
2019/01/03 00:00:51;;;831;0;;;;;;;;;;;
2019/01/03 00:00:51;;;;;0;0;;;;;;;;;
2019/01/03 00:00:52;;;;;;;;;0;0;0;;;;
2019/01/03 00:00:52;0;;;;;;;;;;;;;;
2019/01/03 00:16:03;;;;;;;224;;;;;;;;
2019/01/03 00:16:13;;;;;;;0;;;;;;;;
2019/01/03 00:16:18;;;;;;;;891;;;;;;;
2019/01/03 00:16:23;;;;;;;;224;;;;;;;
2019/01/03 00:17:18;;;;;;;;0;;;;;;;
2019/01/03 00:18:19;;;;;;;;891;;;;;;;
2019/01/03 00:31:38;;;;;;;;0;;;;;;;
2019/01/03 00:31:47;;;0;;;;;;;;;;;;
2019/01/03 00:32:49;;;;;;;;891;;;;;;;
2019/01/03 00:36:23;;;;;;;;;;;;;224;;
2019/01/03 00:36:36;;;;;;;891;;;;;;;;
2019/01/03 00:36:43;;;;;;;;;;;;;0;;
2019/01/03 00:36:52;;;;;;144;;;;;;;;;
2019/01/03 00:40:28;;;;;891;;;;;;;;;;
2019/01/03 00:40:42;;;;;;;;;;;891;;;;
2019/01/03 00:48:05;;;;;;;;0;;;;;;;
2019/01/03 00:48:30;;;;;;;0;;;;;;;;
2019/01/03 00:48:49;;;;;0;;;;;;;;;;
2019/01/03 00:49:00;;;;;;;;892;;;;;;;
2019/01/03 00:49:14;;;;;;;;;;;0;;;;
2019/01/03 00:49:30;;;;;;;;891;;;;;;;
2019/01/03 00:49:40;;;;;;;;224;;;;;;;
2019/01/03 01:12:34;;;;;;;;0;;;;;;;
2019/01/03 01:13:39;;;;;;;;891;;;;;;;
2019/01/03 01:14:09;;;;;;;892;;;;;;;;
2019/01/03 01:16:39;;;831;;;;;;;;;;;;
2019/01/03 01:17:18;;;;;;;;;;;;;144;;
2019/01/03 01:25:08;;;;;;;;0;;;;;;;
2019/01/03 01:26:04;;;;;;;891;;;;;;;;
2019/01/03 01:26:09;;;;;;;;891;;;;;;;
2019/01/03 01:26:14;;;;;;;224;;;;;;;;
2019/01/03 01:26:38;;;0;;;;;;;;;;;;
2019/01/03 01:27:24;;;;;;;0;;;;;;;;
2019/01/03 01:29:05;;;;;;;;0;;;;;;;
2019/01/03 01:29:45;;;;;;;;318;;;;;;;
2019/01/03 01:30:51;;;;;;;;224;;;;;;;
2019/01/03 01:31:06;;;;;;;;0;;;;;;;
2019/01/03 01:32:01;;;;;;;;892;;;;;;;
2019/01/03 01:32:05;;;831;;;;;;;;;;;;
2019/01/03 01:33:32;;;;;;;831;;;;;;;;
2019/01/03 01:34:52;;;;;;;0;;;;;;;;
2019/01/03 01:35:57;;;0;;;;;;;;;;;;
2019/01/03 01:39:38;;;;;;;;891;;;;;;;
2019/01/03 01:39:49;;;;;;;;224;;;;;;;
2019/01/03 01:40:28;;;;;;;;0;;;;;;;
2019/01/03 01:41:23;;;;;;;;891;;;;;;;
2019/01/03 01:41:43;;;;;;;891;;;;;;;;
2019/01/03 01:42:18;;;;;;0;;;;;;;;;
2019/01/03 01:42:44;;;;;;;;224;;;;;;;
2019/01/03 01:42:49;;;;;;;;0;;;;;;;
2019/01/03 01:43:04;;;;;;;0;;;;;;;;
2019/01/03 01:43:24;;;;;;;;318;;;;;;;
2019/01/03 01:43:29;;;;;;;891;;;;;;;;
2019/01/03 01:44:09;;;;;;;224;;;;;;;;
2019/01/03 01:44:14;;;;;;;0;;;;;;;;
2019/01/03 01:44:24;;;;;;;;224;;;;;;;
2019/01/03 01:44:49;;;;;;;;0;;;;;;;
2019/01/03 01:45:10;;;;;;;831;;;;;;;;
2019/01/03 01:45:50;;;;;;;;891;;;;;;;
2019/01/03 01:47:40;;;;;;;0;0;;;;;;;
2019/01/03 01:48:00;;;;;;;;;;;;144;;;
2019/01/03 01:48:31;;;;;;;;892;;;;;;;
2019/01/03 01:49:15;;;;;;;;;;;;;;144;
2019/01/03 01:49:31;;;;;;;;891;;;;;;;
2019/01/03 01:49:35;;;831;;;;;;;;;;;;
2019/01/03 01:49:41;;;;;;;;224;;;;;;;
2019/01/03 01:50:11;;;;;;;831;;;;;;;;
2019/01/03 01:53:57;;;;;;;;0;;;;;;;
2019/01/03 01:55:03;;;;;;;;891;;;;;;;
2019/01/03 01:57:04;;;;;;;224;;;;;;;;
2019/01/03 01:57:29;;;;;;;0;;;;;;;;
2019/01/03 01:58:01;;;;;;144;;;;;;;;;
2019/01/03 01:58:09;;;;;;;318;0;;;;;;;
2019/01/03 01:59:09;;;;;;;0;891;;;;;;;
2019/01/03 02:00:05;;;;;;;318;;;;;;;;
2019/01/03 02:01:05;;;;;;;0;;;;;;;;
2019/01/03 02:03:11;;;;;;;831;;;;;;;;
2019/01/03 02:04:54;;;;;;;;;;;;0;;;
2019/01/03 02:04:56;;;;;;;;0;;;;;;;
2019/01/03 02:05:06;;;0;;;;;;;;;;;;
2019/01/03 02:05:44;;;;;;;;;;;;;;0;
2019/01/03 02:06:02;;;;;;;;831;;;;;;;
2019/01/03 02:07:05;;;;;;;;;;;;;0;;
2019/01/03 02:07:37;;;;;;0;;;;;;;;;
2019/01/03 02:08:13;;;;;;;;0;;;;;;;
2019/01/03 02:09:43;;;;;;;;892;;;;;;;
2019/01/03 02:15:01;;;;;;;224;;;;;;;;
2019/01/03 02:15:21;;;;;;;0;;;;;;;;
2019/01/03 02:15:51;;;;;;;;891;;;;;;;
2019/01/03 02:16:41;;;;;;;;224;;;;;;;
2019/01/03 02:28:31;;;;;;;;0;;;;;;;
2019/01/03 02:29:31;;;;;;;;891;;;;;;;
2019/01/03 02:31:27;;;;;;;;224;;;;;;;
2019/01/03 02:31:52;;;;;;;;0;;;;;;;
2019/01/03 02:32:42;;;;;;;;335;;;;;;;
2019/01/03 02:33:43;;;;;;;;224;;;;;;;
2019/01/03 02:34:08;;;;;;;;0;;;;;;;
2019/01/03 02:35:08;;;;;;;;891;;;;;;;
2019/01/03 02:36:34;;;;;;;;0;;;;;;;
2019/01/03 02:37:34;;;;;;;;892;;;;;;;
2019/01/03 02:38:35;;;;;;;;891;;;;;;;
2019/01/03 02:38:40;;;;;;;;224;;;;;;;
2019/01/03 02:39:15;;;;;;;;0;;;;;;;
2019/01/03 02:40:15;;;;;;;;891;;;;;;;
2019/01/03 02:44:07;;;;;;;;0;;;;;;;
2019/01/03 02:45:12;;;;;;;;891;;;;;;;
2019/01/03 02:46:12;;;;;;;;0;;;;;;;
2019/01/03 02:47:18;;;;;;;;892;;;;;;;
2019/01/03 02:51:04;;;;;;;;891;;;;;;;
2019/01/03 02:51:14;;;;;;;;224;;;;;;;
2019/01/03 02:52:09;;;;;;;;0;;;;;;;
2019/01/03 02:53:10;;;;;;;;891;;;;;;;
2019/01/03 03:02:38;;;;;;;;0;;;;;;;
2019/01/03 03:03:38;;;;;;;;891;;;;;;;
2019/01/03 03:14:32;;;;;;;;0;;;;;;;
2019/01/03 03:15:37;;;;;;;;892;;;;;;;
2019/01/03 03:21:04;;;;;;;;891;;;;;;;
2019/01/03 03:21:14;;;;;;;;224;;;;;;;
2019/01/03 03:21:54;;;;;;;;0;;;;;;;
2019/01/03 03:22:55;;;;;;;;891;;;;;;;
2019/01/03 03:26:31;;;;;;;;0;;;;;;;
2019/01/03 03:27:31;;;;;;;;891;;;;;;;
2019/01/03 03:29:02;;;;;;;;224;;;;;;;
2019/01/03 03:29:22;;;;;;;;0;;;;;;;
2019/01/03 03:30:22;;;;;;;;892;;;;;;;
2019/01/03 03:32:13;;;;;;;;891;;;;;;;
2019/01/03 03:32:18;;;;;;;;224;;;;;;;
2019/01/03 03:33:43;;;;;;;;0;;;;;;;
2019/01/03 03:34:43;;;;;;;;891;;;;;;;
2019/01/03 03:37:54;;;;;;;;224;;;;;;;
2019/01/03 03:38:05;;;;;;;;0;;;;;;;
2019/01/03 03:39:00;;;;;;;;891;;;;;;;
2019/01/03 03:45:57;;;;;;;;224;;;;;;;
2019/01/03 03:46:12;;;;;;;;0;;;;;;;
2019/01/03 03:47:18;;;;;;;;892;;;;;;;
2019/01/03 03:48:28;;;;;;;;891;;;;;;;
2019/01/03 03:48:33;;;;;;;;224;;;;;;;
2019/01/03 04:15:18;;;;;;;892;;;;;;;;
2019/01/03 04:50:53;;;;;;;;;;;;;;275;
2019/01/03 05:13:54;;;;;;;309;;;;;;;;
2019/01/03 05:13:59;;;;;;;224;;;;;;;;
2019/01/03 05:14:04;;;;;;;0;;;;;;;;
2019/01/03 05:20:35;;;;;;;;;;;;;;224;
2019/01/03 05:23:40;;;;;;;;;;;;;;0;
2019/01/03 05:30:39;;;;;;;891;;;;;;;;
2019/01/03 05:54:37;;;;;;;0;;;;;;;;
2019/01/03 05:55:22;;;;;;;;0;;;;;;;
2019/01/03 05:55:52;;;;;;;318;;;;;;;;
2019/01/03 05:56:48;;;;;;;224;;;;;;;;
2019/01/03 05:57:08;;;;;;;0;;;;;;;;
2019/01/03 05:58:33;;;;;;;;891;;;;;;;
2019/01/03 06:14:44;;;;;;;891;;;;;;;;
2019/01/03 06:28:59;;;;;;;;224;;;;;;;
2019/01/03 06:29:14;;;;;;;;0;;;;;;;
2019/01/03 06:30:19;;;;;;;;891;;;;;;;
2019/01/03 06:44:54;;;;;;;831;;;;;;;;
2019/01/03 06:47:20;;;;;;;224;;;;;;;;
2019/01/03 06:47:45;;;;;;;0;;;;;;;;
2019/01/03 07:00:54;;;;;;;;224;;;;;;;
2019/01/03 07:02:25;;;;;;;;0;;;;;;;
2019/01/03 07:05:50;;;;;;;;892;;;;;;;
2019/01/03 07:13:23;;;;;;;;224;;;;;;;
2019/01/03 07:14:03;;;;;;;;0;;;;;;;
2019/01/03 07:23:01;;;;;;;;318;;;;;;;
2019/01/03 07:24:01;;;;;;;;224;;;;;;;
2019/01/03 07:24:11;;;;;;;;0;;;;;;;
2019/01/03 07:30:58;;;;;;;;891;;;;;;;
2019/01/03 08:01:59;;;;;;;;0;;;;;;;
2019/01/03 08:02:39;;;;;;;;335;;;;;;;
2019/01/03 08:03:39;;;;;;;;224;;;;;;;
2019/01/03 08:04:04;;;;;;;;831;;;;;;;
2019/01/03 08:05:45;;;;;;;;224;;;;;;;
2019/01/03 08:06:00;;;;;;;;0;;;;;;;
2019/01/03 08:06:55;;;;;;;;891;;;;;;;
2019/01/03 08:07:00;;;;;;;;338;;;;;;;
2019/01/03 08:07:56;;;;;;;;309;;;;;;;
2019/01/03 08:08:41;;;;;;;;831;;;;;;;
2019/01/03 08:10:01;;;;;;;;309;;;;;;;
2019/01/03 08:15:49;;;;;;;831;;;;;;;;
2019/01/03 08:15:54;;;;;;;430;;;;;;;;
2019/01/03 08:18:19;;;;;;;;831;;;;;;;
2019/01/03 08:22:56;;;;;;;;309;;;;;;;
2019/01/03 08:23:46;;;;;;;224;;;;;;;;
2019/01/03 08:25:17;;;;;;;0;;;;;;;;
2019/01/03 08:54:17;;;;;;;;831;;;;;;;
2019/01/03 08:56:48;;;;;;;;309;;;;;;;
2019/01/03 09:04:00;;;;;;;;831;;;;;;;
2019/01/03 09:07:47;;;;;;;;309;;;;;;;
2019/01/03 09:09:02;;;;;;;338;;;;;;;;
2019/01/03 09:09:17;;;;;;;;831;;;;;;;
2019/01/03 09:10:07;;;;;;;893;;;;;;;;
2019/01/03 09:12:23;;;;;;;309;;;;;;;;
2019/01/03 09:12:28;;;;;;;831;;;;;;;;
2019/01/03 09:13:58;;;;;;;;309;;;;;;;
2019/01/03 09:18:15;;;;;;;309;;;;;;;;
2019/01/03 09:27:53;;;;;;;;220;;;;;;;
2019/01/03 09:28:18;;;;;;;;null;;;;;;;
2019/01/03 09:38:36;;;;;;;100;;;;;;;;
2019/01/03 10:32:46;;;;;;;900;;;;;;;;
2019/01/03 10:32:51;;;;;;;224;;;;;;;;
2019/01/03 10:33:21;;;;;;;0;;;;;;;;
2019/01/03 10:41:40;;;;;;;892;;;;;;;;
2019/01/03 11:29:47;;;;;;;224;;;;;;;;
2019/01/03 11:30:22;;;;;;;0;;;;;;;;
2019/01/03 11:32:48;;;;;;;891;;;;;;;;
2019/01/03 12:02:58;;;;;;;0;;;;;;;;
