Date start:01/01/2019;Date stop:30/06/2019
Data;WTE2.L1.WTG1.Status.WTG Event;WTE2.L1.WTG2.Status.WTG Event;WTE2.L1.WTG3.Status.WTG Event;WTE2.L2.WTG12.Status.WTG Event;WTE2.L2.WTG13.Status.WTG Event;WTE2.L2.WTG14.Status.WTG Event;
2019/01/03 14:37:28;;;;;;100;
2019/01/03 15:33:10;;;;0;;;
2019/01/03 15:33:25;;;;309;;;
2019/01/03 15:33:35;;;;0;;;
2019/01/03 17:26:58;;;;338;;;
2019/01/03 17:28:03;;;;0;;;
2019/01/03 17:37:40;;;;153;;;
2019/01/03 17:37:45;;;;159;;;
2019/01/03 19:43:49;;;144;;;;
2019/01/03 19:46:10;;144;;;;;
2019/01/03 19:47:15;891;;;;;;
2019/01/03 19:52:42;0;;;;;;
2019/01/03 19:55:32;;0;;;;;
2019/01/03 20:40:13;;;0;;;;
2019/01/04 00:00:37;null;null;null;null;;null;
2019/01/04 00:00:55;0;0;0;;;;
2019/01/04 00:00:58;;;;159;;100;
2019/01/04 04:16:45;;;;;;0;
2019/01/04 04:16:50;;;;;;309;
2019/01/04 04:17:05;;;;;;0;
2019/01/04 06:28:22;;;;;;356;
2019/01/04 06:29:27;;;;;;0;
2019/01/04 11:11:52;;;;;;356;
2019/01/04 11:12:52;;;;;;0;
2019/01/04 11:13:52;;;;;;356;
2019/01/04 11:14:52;;;;;;0;
2019/01/04 12:24:03;;;;;;338;
2019/01/04 12:25:03;;;;;;0;
2019/01/04 16:49:43;;;;;;276;
2019/01/04 17:16:07;;;;;;0;
2019/01/05 00:00:47;null;null;null;null;;null;
2019/01/05 00:01:07;;;;159;;0;
2019/01/05 00:01:08;0;0;0;;;;
2019/01/05 13:36:17;;;;null;;;
2019/01/05 13:42:56;275;;;;;;
2019/01/05 13:43:18;;;;893;;;
2019/01/05 13:53:06;;;;0;;;
2019/01/05 14:10:08;0;;;;;;
2019/01/06 00:00:37;null;null;null;null;;null;
2019/01/06 00:00:57;0;0;0;;;;
2019/01/06 00:00:58;;;;0;;0;
2019/01/06 00:20:07;;;;275;;;
2019/01/06 00:46:33;;;;0;;;
2019/01/06 05:50:01;null;null;null;null;;null;
2019/01/06 05:54:01;0;0;0;;;0;
2019/01/06 05:54:04;;;;0;;;
2019/01/06 08:14:28;;;;;;275;
2019/01/06 08:27:59;null;null;null;null;;null;
2019/01/06 08:41:24;;;;;;0;
2019/01/06 08:58:58;0;0;0;;;;
2019/01/06 08:58:59;;;;0;;;
2019/01/06 08:59:04;;;;;;0;
2019/01/06 12:03:41;;;;;900;;
2019/01/06 12:05:21;;;;;0;;
2019/01/06 15:21:28;275;;;;;;
2019/01/06 15:48:39;0;;;;;;
2019/01/07 00:00:37;null;null;null;null;null;null;
2019/01/07 00:00:55;;;;0;0;0;
2019/01/07 00:00:56;0;0;0;;;;
2019/01/07 06:38:27;null;null;null;null;null;null;
2019/01/07 07:21:28;;;;0;;;
2019/01/07 07:21:28;0;0;0;;0;0;
2019/01/07 08:00:01;;;;;null;;
2019/01/07 09:08:27;;;;;0;;
2019/01/07 11:53:13;null;null;null;null;null;null;
2019/01/07 12:20:44;0;0;0;0;;0;
2019/01/07 12:20:44;;;;;0;;
