Date start:22/06/2018;Date stop:31/12/2018
Data;WTE2.L1.WTG1.Status.WTG Event;WTE2.L1.WTG2.Status.WTG Event;WTE2.L1.WTG3.Status.WTG Event;WTE2.L2.WTG12.Status.WTG Event;WTE2.L2.WTG13.Status.WTG Event;WTE2.L2.WTG14.Status.WTG Event;
2018/07/04 14:56:49;0;0;0;;;;
2018/07/04 14:56:49;;;;0;0;0;
2018/07/05 00:00:37;null;null;null;null;null;null;
2018/07/05 00:00:58;0;0;0;;;;
2018/07/05 00:00:58;;;;0;0;0;
2018/07/05 07:16:36;;;;;null;;
2018/07/05 13:46:42;0;0;0;;;;
2018/07/05 13:46:48;;;;0;;0;
2018/07/05 14:34:03;;;;;0;;
2018/07/06 00:00:37;null;null;null;null;null;null;
2018/07/06 00:00:56;0;0;0;;;;
2018/07/06 00:00:56;;;;0;0;0;
2018/07/06 15:51:08;null;null;null;null;null;null;
2018/07/06 17:34:14;0;0;0;0;0;;
2018/07/06 17:34:17;;;;;;0;
2018/07/06 20:18:45;;275;;;;;
2018/07/06 20:45:35;;0;;;;;
2018/07/07 00:00:37;null;null;null;null;null;null;
2018/07/07 00:00:53;0;0;0;;;;
2018/07/07 00:00:55;;;;0;0;0;
2018/07/08 00:00:37;null;null;null;null;null;null;
2018/07/08 00:00:54;0;;0;;;;
2018/07/08 00:00:56;;;;0;0;0;
2018/07/08 00:00:59;;0;;;;;
2018/07/09 00:00:47;null;null;null;null;null;null;
2018/07/09 00:01:06;;;;0;0;0;
2018/07/09 00:01:07;0;0;0;;;;
2018/07/10 00:00:47;null;null;null;null;null;null;
2018/07/10 00:01:05;0;0;0;;;;
2018/07/10 00:01:06;;;;0;0;0;
2018/07/10 12:40:37;;;;;;276;
2018/07/10 13:07:02;;;;;;0;
2018/07/11 00:00:47;null;null;null;null;null;null;
2018/07/11 00:01:06;0;0;0;;;;
2018/07/11 00:01:06;;;;0;0;0;
2018/07/11 18:43:58;;;;0;0;0;
2018/07/11 18:43:58;0;;;;;;
2018/07/11 18:43:58;;0;0;;;;
2018/07/11 19:04:57;;;;;102;;
2018/07/11 19:27:27;;;;0;102;0;
2018/07/11 19:27:27;0;0;0;;;;
2018/07/11 20:15:59;;;;0;102;0;
2018/07/11 20:16:03;0;0;0;;;;
2018/07/11 21:59:47;;;;;0;;
2018/07/12 00:00:37;null;null;null;null;null;null;
2018/07/12 00:00:54;;;;0;0;0;
2018/07/12 00:00:55;0;0;0;;;;
2018/07/12 13:37:24;0;0;0;;;;
2018/07/12 13:37:25;;;;0;0;;
2018/07/12 13:37:27;;;;;;0;
2018/07/13 00:00:37;null;null;null;null;null;null;
2018/07/13 00:00:55;0;0;0;;;;
2018/07/13 00:00:55;;;;0;0;0;
2018/07/13 09:53:15;null;;;;;;
2018/07/13 09:53:16;;null;;;;;
2018/07/13 09:53:16;;;null;null;;;
2018/07/13 09:53:16;;;;;null;null;
2018/07/13 09:53:23;0;0;0;;;;
2018/07/13 09:53:23;;;;0;0;0;
