Date start:01/01/2019;Date stop:30/06/2019
Data;Pescina Wind.L1.WTG4.Status.WTG Event;Pescina Wind.L1.WTG5.Status.WTG Event;Pescina Wind.L1.WTG6.Status.WTG Event;Pescina Wind.L1.WTG8.Status.WTG Event;Pescina Wind.L2.WTG10.Status.WTG Event;Pescina Wind.L2.WTG11.Status.WTG Event;Pescina Wind.L2.WTG7.Status.WTG Event;Pescina Wind.L2.WTG9.Status.WTG Event;
2019/01/02 21:49:34;;;;338;;;;;
2019/01/02 21:50:39;;;;0;;;;;
2019/01/02 21:52:09;;;;0;;;;;
2019/01/02 21:53:27;;;;;;;338;;
2019/01/02 21:54:32;;;;;;;0;;
2019/01/02 21:56:12;;;;;;;0;;
2019/01/02 22:00:48;;891;;;;;;;
2019/01/02 22:01:39;;0;;;;;;;
2019/01/02 22:02:40;;;;;;;;356;
2019/01/02 22:03:35;;;;;;;;0;
2019/01/02 22:05:25;;;;;338;;;;
2019/01/02 22:06:31;;;;;0;;;;
2019/01/02 22:10:37;;;;;;;;159;
2019/01/02 22:14:49;;;;;;;;889;
2019/01/02 22:43:48;;;;;;356;;;
2019/01/02 22:44:49;;;;;;0;;;
2019/01/02 22:45:59;;;;;;0;;;
2019/01/02 22:52:11;;;;;;356;;;
2019/01/02 22:53:12;;;;;;0;;;
2019/01/02 23:02:41;;891;;;;;;;
2019/01/02 23:03:32;;0;;;;;;;
2019/01/02 23:16:31;338;;;;;;;;
2019/01/02 23:17:31;0;;;;;;;;
2019/01/02 23:21:33;;;356;;;;;;
2019/01/02 23:22:33;;;0;;;;;;
2019/01/02 23:27:50;;;356;;;;;;
2019/01/02 23:28:50;;;0;;;;;;
2019/01/02 23:55:10;;;;356;;;;;
2019/01/02 23:55:50;;;;0;;;;;
2019/01/03 00:00:37;null;null;null;null;null;null;null;null;
2019/01/03 00:00:54;0;;;;;;;;
2019/01/03 00:00:57;;;;;0;0;0;889;
2019/01/03 00:00:59;;0;0;0;;;;;
2019/01/03 00:02:48;;;;;;;;159;
2019/01/03 00:16:38;;;;;;;;889;
2019/01/03 00:25:36;;;;;;356;;;
2019/01/03 00:26:36;;;;;;0;;;
2019/01/03 00:28:07;;;;;;338;;;
2019/01/03 00:29:07;;;;;;0;;;
2019/01/03 00:52:59;;338;;;;;;;
2019/01/03 00:54:04;;0;;;;;;;
2019/01/03 01:52:27;;;;356;;;;;
2019/01/03 01:53:28;;;;0;;;;;
2019/01/03 02:26:40;;;;356;;;;;
2019/01/03 02:27:41;;;;191;;;;;
2019/01/03 02:27:51;;;;0;;;;;
2019/01/03 03:46:50;;;;356;;;;;
2019/01/03 03:47:50;;;;0;;;;;
2019/01/03 03:50:21;;;;356;;;;;
2019/01/03 03:51:21;;;;191;;;;;
2019/01/03 03:51:31;;;;0;;;;;
2019/01/03 05:19:20;;;;;;356;;;
2019/01/03 05:20:20;;;;;;83;;;
2019/01/03 05:20:30;;;;;;0;;;
2019/01/03 05:28:28;;;;159;;;;;
2019/01/03 05:32:33;;;;;356;;;;
2019/01/03 05:33:33;;;;;191;;;;
2019/01/03 05:33:43;;;;;0;;;;
2019/01/03 06:49:33;;;;;356;;;;
2019/01/03 06:50:38;;;;;0;;;;
2019/01/03 07:06:15;;;;null;;;;;
2019/01/03 07:10:37;;;;159;;;;;
2019/01/03 07:20:10;;;;0;;;;;
2019/01/03 10:09:53;;;;356;;;;;
2019/01/03 10:10:53;;;;0;;;;;
2019/01/03 11:09:13;;;;;;356;;;
2019/01/03 11:10:13;;;;;;0;;;
2019/01/03 12:41:58;;;;;;;;null;
2019/01/03 12:48:54;;;356;;;;;;
2019/01/03 12:49:55;;;0;;;;;;
2019/01/03 12:51:36;;;;;;;;0;
2019/01/03 13:22:47;;;;;356;;;;
2019/01/03 13:23:47;;;;;0;;;;
