Date start:2018/06/22;Date stop:2021/03/10
Device;Date start;Date stop;Duration;Duration (sec);Error code;Description;Nature;Cause;Energy loss(kWh);Modified by
 141; 2018/09/18 07:31:00; 2018/09/19 15:03:05;="31:32:05";113525;-1;Unknown error;Other;DEV_UN;2,98;GIAN_SOFI;
 142; 2018/09/20 07:13:23; 2018/09/20 15:44:07;="08:30:44";30644;-1;Unknown error;Other;DEV_UN;156,37;GIAN_SOFI;
 157; 2018/09/26 00:13:19; 2018/09/26 03:30:13;="03:16:54";11814;144;[144] - High windspeed;Wind_out_of_range;ENV;4896,67;;
 158; 2018/09/26 04:12:55; 2018/09/26 05:33:55;="01:21:00";4860;144;[144] - High windspeed;Wind_out_of_range;ENV;2130,61;;
 165; 2018/10/01 07:54:49; 2018/10/01 08:53:25;="00:58:36";3516;309;[309] - Pause over RCS;Electrical;ELE_SC;0,00;GIAN_SOFI;
 178; 2018/10/10 15:55:32; 2018/10/10 17:03:38;="01:08:06";4086;309;[309] - Pause over RCS;Other;ELE_SC;60,77;GIAN_SOFI;
 179; 2018/10/11 08:49:02; 2018/10/11 12:56:38;="04:07:36";14856;309;[309] - Pause over RCS;Other;ELE_SC;9,67;GIAN_SOFI;
 180; 2018/10/12 08:46:08; 2018/10/12 11:01:50;="02:15:42";8142;309;[309] - Pause over RCS;Other;ELE_SC;177,61;GIAN_SOFI;
 193; 2018/10/22 02:28:11; 2018/10/22 08:17:05;="05:48:54";20934;352;[352] - Q7 breaker open;Electrical;DEV_UN;10630,01;GIAN_SOFI;
 195; 2018/10/22 16:04:17; 2018/10/22 16:34:17;="00:30:00";1800;891;[891] - Yaw prot,;Yaw_system;ENV;1000,01;;
 196; 2018/10/23 06:14:35; 2018/10/23 07:03:47;="00:49:12";2952;144;[144] - High windspeed;Wind_out_of_range;ENV;640,00;;
 210; 2018/10/29 13:36:48; 2018/10/29 14:20:42;="00:43:54";2634;703;[703] - RT Dip exc, lim,;Electrical;GRID;459,88;;
 211; 2018/10/29 14:33:24; 2018/10/29 14:51:58;="00:18:34";1114;315;[315] - ExEx low voltage L;Electrical;GRID;285,21;;
 212; 2018/10/29 15:07:58; 2018/10/29 15:33:40;="00:25:42";1542;315;[315] - ExEx low voltage L;Electrical;GRID;110,27;;
 214; 2018/10/29 19:01:09; 2018/10/29 19:18:21;="00:17:12";1032;144;[144] - High windspeed;Wind_out_of_range;ENV;573,33;;
 246; 2018/11/13 13:21:37; 2018/11/13 13:49:31;="00:27:54";1674;276;[276] - Start auto-outyawing CCW;Yaw_system;ENV;0,00;;
 281; 2018/12/21 12:44:00; 2018/12/21 13:15:00;="00:31:00";1860;275;[275] - Start auto-outyawing CW;Yaw_system;ENV;0,00;;
 283; 2018/12/24 23:03:08; 2018/12/24 23:15:56;="00:12:48";768;144;[144] - High windspeed;Wind_out_of_range;ENV;426,66;;
 284; 2018/12/24 23:56:20; 2018/12/25 01:10:32;="01:14:12";4452;144;[144] - High windspeed;Wind_out_of_range;ENV;2473,33;;
 290; 2019/01/01 02:04:28; 2019/01/01 02:34:28;="00:30:00";1800;891;[891] - Yaw prot,;Yaw_system;ENV;1000,00;;
 291; 2019/01/01 10:11:40; 2019/01/01 10:35:40;="00:24:00";1440;144;[144] - High windspeed;Wind_out_of_range;ENV;800,01;;
 292; 2019/01/02 22:47:48; 2019/01/02 23:19:00;="00:31:12";1872;144;[144] - High windspeed;Wind_out_of_range;ENV;1040,02;;
 293; 2019/01/03 17:17:42; 2019/01/03 22:47:01;="05:29:19";19759;891;[891] - Yaw prot,;Yaw_system;ENV;7862,69;;
 294; 2019/01/04 02:22:37; 2019/01/04 02:51:07;="00:28:30";1710;275;[275] - Start auto-outyawing CW;Yaw_system;ENV;17,88;;
 295; 2019/01/05 18:49:19; 2019/01/05 19:49:43;="01:00:24";3624;275;[275] - Start auto-outyawing CW;Yaw_system;ENV;0,00;;
 331; 2019/01/14 16:13:52; 2019/01/14 16:41:58;="00:28:06";1686;275;[275] - Start auto-outyawing CW;Yaw_system;ENV;223,18;;
 332; 2019/01/16 07:01:47; 2019/01/16 08:05:17;="01:03:30";3810;275;[275] - Start auto-outyawing CW;Yaw_system;ENV;0,00;;
 339; 2019/01/24 18:43:47; 2019/01/24 22:37:29;="03:53:42";14022;144;[144] - High windspeed;Wind_out_of_range;ENV;7790,00;;
 340; 2019/01/24 22:54:47; 2019/01/24 23:24:53;="00:30:06";1806;891;[891] - Yaw prot,;Yaw_system;ENV;1003,34;;
 341; 2019/01/25 04:08:11; 2019/01/25 05:06:41;="00:58:30";3510;144;[144] - High windspeed;Wind_out_of_range;ENV;1616,66;;
 342; 2019/01/27 12:49:40; 2019/01/27 14:17:04;="01:27:24";5244;703;[703] - RT Dip exc, lim,;Electrical;GRID;670,54;;
 365; 2019/02/01 21:22:28; 2019/02/02 11:51:16;="14:28:48";52128;850;[850] - No RT DC Undervoltage;Electrical;DEV_UN;23005,02;;
 366; 2019/02/02 15:12:22; 2019/02/03 15:55:10;="24:42:48";88968;102;[102] - Emergency circuit open;Electrical;DEV_UN;8889,93;GIAN_SOFI;
 369; 2019/02/04 18:00:52; 2019/02/04 22:19:16;="04:18:24";15504;144;[144] - High windspeed;Wind_out_of_range;ENV;8613,32;;
 370; 2019/02/06 07:43:37; 2019/02/06 11:27:13;="03:43:36";13416;144;[144] - High windspeed;Wind_out_of_range;ENV;5786,67;;
 371; 2019/02/06 11:49:01; 2019/02/06 12:05:25;="00:16:24";984;144;[144] - High windspeed;Wind_out_of_range;ENV;546,66;;
 378; 2019/02/15 19:32:01; 2019/02/15 20:33:13;="01:01:12";3672;144;[144] - High windspeed;Wind_out_of_range;ENV;773,93;;
 395; 2019/02/18 17:01:13; 2019/02/18 17:24:56;="00:23:43";1423;315;[315] - ExEx low voltage L;Electrical;GRID;0,00;;
 396; 2019/02/23 04:43:47; 2019/02/23 05:15:11;="00:31:24";1884;144;[144] - High windspeed;Wind_out_of_range;ENV;1046,66;;
 397; 2019/02/23 05:17:11; 2019/02/23 06:29:47;="01:12:36";4356;144;[144] - High windspeed;Wind_out_of_range;ENV;2086,67;;
 398; 2019/02/23 06:34:41; 2019/02/23 07:25:17;="00:50:36";3036;144;[144] - High windspeed;Wind_out_of_range;ENV;1353,34;;
 399; 2019/02/23 07:27:41; 2019/02/23 08:07:23;="00:39:42";2382;144;[144] - High windspeed;Wind_out_of_range;ENV;1323,31;;
 400; 2019/02/23 08:54:53; 2019/02/24 19:01:21;="34:06:28";122788;892;[892] - Yaw gear protection stop;Yaw_system;ENV;35574,06;;
 401; 2019/02/25 16:24:45; 2019/02/25 16:55:39;="00:30:54";1854;891;[891] - Yaw prot,;Yaw_system;ENV;1029,99;;
 402; 2019/02/25 16:58:15; 2019/02/25 17:28:27;="00:30:12";1812;891;[891] - Yaw prot,;Yaw_system;ENV;1006,67;;
 403; 2019/02/25 18:59:29; 2019/02/25 20:33:27;="01:33:58";5638;144;[144] - High windspeed;Wind_out_of_range;ENV;2465,18;;
 404; 2019/02/25 22:53:15; 2019/02/25 23:17:09;="00:23:54";1434;144;[144] - High windspeed;Wind_out_of_range;ENV;796,67;;
 449; 2019/03/08 09:09:24; 2019/03/08 09:46:24;="00:37:00";2220;-1;Unknown error;Other;DEV_UN;0,00;;
 452; 2019/03/12 00:23:43; 2019/03/12 10:47:16;="10:23:33";37413;144;[144] - High windspeed;Wind_out_of_range;ENV;20396,28;;
 468; 2019/03/14 02:32:04; 2019/03/14 03:00:46;="00:28:42";1722;275;[275] - Start auto-outyawing CW;Yaw_system;OTH;76,90;GIAN_SOFI;
 472; 2019/03/14 14:00:52; 2019/03/14 14:23:04;="00:22:12";1332;315;[315] - ExEx low voltage L;Electrical;GRID;39,96;;
 492; 2019/04/04 19:38:49; 2019/04/04 20:10:37;="00:31:48";1908;275;[275] - Start auto-outyawing CW;Yaw_system;ENV;134,19;;
 493; 2019/04/09 07:14:22; 2019/04/09 14:45:52;="07:31:30";27090;-1;Unknown error;Other;DEV_SC;98,00;GIAN_SOFI;
 494; 2019/04/09 18:50:10; 2019/04/09 19:21:34;="00:31:24";1884;275;[275] - Start auto-outyawing CW;Yaw_system;ENV;9,67;;
 495; 2019/04/10 07:33:16; 2019/04/10 14:41:10;="07:07:54";25674;-1;Unknown error;Other;DEV_SC;1552,88;GIAN_SOFI;
 501; 2019/05/02 12:52:12; 2019/05/02 12:58:48;="00:06:36";396;315;[315] - ExEx low voltage L;Electrical;GRID;6,38;GIAN_SOFI;
 515; 2019/05/12 07:49:20; 2019/05/12 15:27:44;="07:38:24";27504;315;[315] - ExEx low voltage L;Electrical;GRID;422,79;;
 525; 2019/05/26 15:04:05; 2019/05/26 15:43:54;="00:39:49";2389;181;[181] - Feedback yawing CW;Yaw_system;DEV_UN;287,78;;
 529; 2019/05/28 14:46:26; 2019/05/28 15:40:38;="00:54:12";3252;-1;Unknown error;Other;DEV_SC;613,57;CAPU_GIOV;
 541; 2019/06/03 19:59:43; 2019/06/03 20:59:55;="01:00:12";3612;275;[275] - Start auto-outyawing CW;Yaw_system;ENV;0,00;;
 567; 2019/06/19 20:34:13; 2019/06/19 21:04:49;="00:30:36";1836;276;[276] - Start auto-outyawing CCW;Yaw_system;ENV;44,75;;
 591; 2019/07/02 07:41:39; 2019/07/02 08:22:45;="00:41:06";2466;202;[202] - Frequency error 1;Electrical;GRID;0,00;;
 592; 2019/07/04 00:22:33; 2019/07/04 01:50:57;="01:28:24";5304;275;[275] - Start auto-outyawing CW;Yaw_system;ENV;0,00;;
 601; 2019/07/17 07:11:00; 2019/07/17 10:21:36;="03:10:36";11436;-1;Unknown error;Other;DEV_SC;610,66;GIAN_SOFI;
 602; 2019/07/18 19:56:24; 2019/07/18 20:15:18;="00:18:54";1134;315;[315] - ExEx low voltage L;Electrical;GRID;38,00;;
 610; 2019/07/28 15:46:54; 2019/07/28 15:53:18;="00:06:24";384;899;[899] - Grid volt above stop lim;Electrical;GRID;22,50;;
 617; 2019/08/04 15:55:07; 2019/08/04 16:31:07;="00:36:00";2160;275;[275] - Start auto-outyawing CW;Yaw_system;ENV;12,44;;
 620; 2019/08/09 07:32:37; 2019/08/09 14:57:01;="07:24:24";26664;-1;Unknown error;Other;DEV_SC;2469,89;GIAN_SOFI;
 621; 2019/08/09 21:51:19; 2019/08/10 00:15:43;="02:24:24";8664;275;[275] - Start auto-outyawing CW;Yaw_system;ENV;0,00;;
 631; 2019/08/23 09:43:01; 2019/08/23 11:31:49;="01:48:48";6528;181;[181] - Feedback yawing CW;Yaw_system;DEV_UN;84,83;;
 632; 2019/08/24 19:11:58; 2019/08/24 19:18:28;="00:06:30";390;315;[315] - ExEx low voltage L;Electrical;GRID;197,60;;
 633; 2019/08/26 15:34:34; 2019/08/26 16:04:22;="00:29:48";1788;275;[275] - Start auto-outyawing CW;Yaw_system;ENV;257,08;;
 639; 2019/08/29 19:39:12; 2019/08/29 20:21:36;="00:42:24";2544;275;[275] - Start auto-outyawing CW;Yaw_system;ENV;3,68;;
 646; 2019/09/01 15:08:36; 2019/09/01 15:16:26;="00:07:50";470;315;[315] - ExEx low voltage L;Electrical;GRID;15,98;;
 650; 2019/09/07 21:48:26; 2019/09/07 22:40:02;="00:51:36";3096;275;[275] - Start auto-outyawing CW;Yaw_system;OTH;19,33;GIAN_SOFI;
 653; 2019/09/13 08:09:48; 2019/09/13 13:17:30;="05:07:42";18462;309;[309] - Pause over RCS;Other;ELE_SC;2894,24;CAPU_GIOV;
 665; 2019/09/23 10:24:19; 2019/09/23 16:45:01;="06:20:42";22842;309;[309] - Pause over RCS;Other;DEV_SC;4083,39;GIAN_SOFI;
 674; 2019/10/02 14:57:53; 2019/10/02 15:03:47;="00:05:54";354;315;[315] - ExEx low voltage L;Electrical;GRID;150,32;;
 675; 2019/10/02 16:19:11; 2019/10/07 12:33:28;="116:14:17";418457;315;[315] - ExEx low voltage L;Electrical;FMJ;49072,93;GIAN_SOFI;
 682; 2019/10/07 13:31:40; 2019/10/07 13:46:28;="00:14:48";888;309;[309] - Pause over RCS;Other;FMJ;492,91;GIAN_SOFI;
 695; 2019/10/17 07:31:15; 2019/10/17 15:16:51;="07:45:36";27936;-1;Unknown error;Other;DEV_SC;0,00;GIAN_SOFI;
 698; 2019/10/28 07:21:30; 2019/10/28 08:03:12;="00:41:42";2502;202;[202] - Frequency error 1;Electrical;GRID;0,00;;
 702; 2019/11/03 11:38:40; 2019/11/03 11:44:46;="00:06:06";366;899;[899] - Grid volt above stop lim;Electrical;GRID;65,54;;
 707; 2019/11/09 20:21:00; 2019/11/09 20:27:18;="00:06:18";378;315;[315] - ExEx low voltage L;Electrical;GRID;73,06;;
 708; 2019/11/10 09:14:06; 2019/11/10 09:36:54;="00:22:48";1368;315;[315] - ExEx low voltage L;Electrical;GRID;0,00;;
 718; 2019/11/15 20:46:06; 2019/11/15 21:35:36;="00:49:30";2970;315;[315] - ExEx low voltage L;Electrical;GRID;356,20;GIAN_SOFI;
 719; 2019/11/16 07:13:12; 2019/11/16 23:38:54;="16:25:42";59142;315;[315] - ExEx low voltage L;Electrical;GRID;4964,49;;
 720; 2019/11/17 08:00:12; 2019/11/17 13:30:40;="05:30:28";19828;899;[899] - Grid volt above stop lim;Electrical;GRID;2903,59;GIAN_SOFI;
 730; 2019/12/04 09:05:37; 2019/12/04 09:35:37;="00:30:00";1800;891;[891] - Yaw prot,;Yaw_system;ENV;1000,00;;
 731; 2019/12/04 13:21:19; 2019/12/06 14:59:13;="49:37:54";178674;-1;Unknown error;Other;DEV_UN;40181,15;GIAN_SOFI;
 732; 2019/12/07 17:11:20; 2019/12/07 18:55:56;="01:44:36";6276;275;[275] - Start auto-outyawing CW;Yaw_system;OTH;0,00;;
 733; 2019/12/09 05:24:52; 2019/12/09 10:19:58;="04:55:06";17706;352;[352] - Q7 breaker open;Electrical;DEV_UN;1369,33;GIAN_SOFI;
 737; 2019/12/10 15:38:47; 2019/12/10 16:34:41;="00:55:54";3354;144;[144] - High windspeed;Wind_out_of_range;ENV;1863,33;;
 738; 2019/12/10 17:40:23; 2019/12/10 19:49:29;="02:09:06";7746;144;[144] - High windspeed;Wind_out_of_range;ENV;4303,35;;
 739; 2019/12/10 20:04:47; 2019/12/11 00:55:29;="04:50:42";17442;144;[144] - High windspeed;Wind_out_of_range;ENV;9690,00;;
 740; 2019/12/14 02:35:11; 2019/12/14 03:05:17;="00:30:06";1806;891;[891] - Yaw prot,;Yaw_system;ENV;1003,33;;
 752; 2019/12/22 06:22:24; 2019/12/22 08:12:18;="01:49:54";6594;352;[352] - Q7 breaker open;Electrical;GRID;3441,32;GIAN_SOFI;
 757; 2019/12/28 20:42:30; 2019/12/29 00:40:18;="03:57:48";14268;144;[144] - High windspeed;Wind_out_of_range;ENV;6593,33;;
 758; 2019/12/29 23:43:12; 2019/12/30 01:53:00;="02:09:48";7788;144;[144] - High windspeed;Wind_out_of_range;ENV;3326,68;;
 774; 2019/12/30 12:40:32; 2019/12/30 13:10:42;="00:30:10";1810;891;[891] - Yaw prot,;Yaw_system;ENV;689,53;;
 775; 2019/12/30 15:14:42; 2019/12/30 15:43:18;="00:28:36";1716;144;[144] - High windspeed;Wind_out_of_range;ENV;953,33;;
 776; 2019/12/30 17:17:12; 2019/12/30 17:46:18;="00:29:06";1746;144;[144] - High windspeed;Wind_out_of_range;ENV;970,00;;
 780; 2020/01/05 20:52:48; 2020/01/06 08:29:30;="11:36:42";41802;144;[144] - High windspeed;Wind_out_of_range;ENV;12223,34;;
 781; 2020/01/06 10:04:30; 2020/01/06 10:43:00;="00:38:30";2310;144;[144] - High windspeed;Wind_out_of_range;ENV;1283,34;;
 796; 2020/01/10 13:59:42; 2020/01/10 17:13:30;="03:13:48";11628;275;[275] - Start auto-outyawing CW;Yaw_system;OTH;0,00;;
 809; 2020/01/31 02:35:06; 2020/01/31 03:55:42;="01:20:36";4836;275;[275] - Start auto-outyawing CW;Yaw_system;OTH;5,51;;
 811; 2020/02/05 19:59:58; 2020/02/05 20:31:58;="00:32:00";1920;891;[891] - Yaw prot,;Yaw_system;ENV;1062,97;;
 812; 2020/02/06 01:28:05; 2020/02/06 06:06:47;="04:38:42";16722;144;[144] - High windspeed;Wind_out_of_range;ENV;8131,48;;
 813; 2020/02/06 12:53:41; 2020/02/06 13:59:23;="01:05:42";3942;144;[144] - High windspeed;Wind_out_of_range;ENV;523,32;;
 823; 2020/02/18 09:57:59; 2020/02/18 11:29:53;="01:31:54";5514;-1;Unknown error;Other;GRID;0,00;GIAN_SOFI;
 829; 2020/03/05 11:48:45; 2020/03/05 12:20:39;="00:31:54";1914;275;[275] - Start auto-outyawing CW;Yaw_system;OTH;0,00;;
 837; 2020/03/20 14:48:36; 2020/03/20 15:31:24;="00:42:48";2568;275;[275] - Start auto-outyawing CW;Yaw_system;OTH;9,67;;
 840; 2020/03/25 22:57:57; 2020/03/26 06:21:45;="07:23:48";26628;144;[144] - High windspeed;Wind_out_of_range;ENV;14126,66;;
 841; 2020/03/26 09:30:09; 2020/03/26 09:46:33;="00:16:24";984;144;[144] - High windspeed;Wind_out_of_range;ENV;546,67;;
 842; 2020/03/26 10:47:45; 2020/03/26 13:15:15;="02:27:30";8850;144;[144] - High windspeed;Wind_out_of_range;ENV;4916,66;;
 843; 2020/03/26 15:58:39; 2020/03/26 18:52:27;="02:53:48";10428;144;[144] - High windspeed;Wind_out_of_range;ENV;5793,33;;
 865; 2020/04/01 10:20:00; 2020/04/01 10:45:18;="00:25:18";1518;891;[891] - Yaw prot,;Yaw_system;ENV;843,28;;
 866; 2020/04/02 12:40:30; 2020/04/02 13:22:24;="00:41:54";2514;275;[275] - Start auto-outyawing CW;Yaw_system;OTH;2,32;;
 869; 2020/04/05 10:21:30; 2020/04/05 10:53:36;="00:32:06";1926;144;[144] - High windspeed;Wind_out_of_range;ENV;1070,00;;
 877; 2020/04/12 11:03:30; 2020/04/12 17:10:30;="06:07:00";22020;-1;Unknown error;Other;LIM;970,23;GIAN_SOFI;
 878; 2020/04/12 17:10:30; 2020/04/12 17:18:36;="00:08:06";486;-1;Unknown error;Other;LIM;-;GIAN_SOFI;
 885; 2020/04/14 22:42:19; 2020/04/14 23:24:01;="00:41:42";2502;144;[144] - High windspeed;Wind_out_of_range;ENV;1390,01;;
 906; 2020/05/21 08:14:05; 2020/05/21 11:08:53;="02:54:48";10488;144;[144] - High windspeed;Wind_out_of_range;ENV;5493,33;;
 918; 2020/06/07 06:36:24; 2020/06/07 07:10:30;="00:34:06";2046;-1;Unknown error;Other;GRID;0,00;GIAN_SOFI;
 939; 2020/06/17 09:39:14; 2020/06/17 14:33:08;="04:53:54";17634;-1;Unknown error;Other;DEV_SC;1079,58;GIAN_SOFI;
 940; 2020/06/19 07:05:32; 2020/06/19 14:30:02;="07:24:30";26670;-1;Unknown error;Other;DEV_SC;1165,27;GIAN_SOFI;
 941; 2020/06/20 14:14:02; 2020/06/20 14:41:32;="00:27:30";1650;275;[275] - Start auto-outyawing CW;Yaw_system;OTH;39,65;;
 949; 2020/06/26 12:54:05; 2020/06/26 14:11:59;="01:17:54";4674;275;[275] - Start auto-outyawing CW;Yaw_system;OTH;9,67;;
 954; 2020/06/30 07:08:05; 2020/06/30 13:05:35;="05:57:30";21450;-1;Unknown error;Other;ERR;413,74;;
 956; 2020/07/03 19:11:02; 2020/07/04 10:24:20;="15:13:18";54798;352;[352] - Q7 breaker open;Electrical;DEV_UN;7558,55;;
 957; 2020/07/04 13:41:44; 2020/07/04 17:13:08;="03:31:24";12684;-1;Unknown error;Other;GRID;551,99;GASP_STEF;
 958; 2020/07/04 17:13:08; 2020/07/04 19:43:14;="02:30:06";9006;-1;Unknown error;Other;DEV_UN;69,00;;
 966; 2020/07/06 13:15:21; 2020/07/06 14:35:27;="01:20:06";4806;-1;Unknown error;Other;DEV_SC;398,16;GIAN_SOFI;
 967; 2020/07/07 10:07:49; 2020/07/07 10:55:25;="00:47:36";2856;919;[919] - High temp, Gen bear NDE;Temperature;DEV_UN;1583,89;;
 968; 2020/07/07 19:13:19; 2020/07/07 20:16:49;="01:03:30";3810;-1;Unknown error;Other;GRID;920,47;GIAN_SOFI;
 992; 2020/07/20 10:24:08; 2020/07/20 12:52:50;="02:28:42";8922;309;[309] - Pause over RCS;Electrical;GRID;0,00;;
 996; 2020/07/20 22:32:32; 2020/07/20 23:02:56;="00:30:24";1824;275;[275] - Start auto-outyawing CW;Yaw_system;OTH;0,00;;
 997; 2020/07/26 09:42:41; 2020/07/26 10:17:17;="00:34:36";2076;276;[276] - Start auto-outyawing CCW;Yaw_system;OTH;0,00;;
 1008; 2020/08/04 23:18:51; 2020/08/05 08:02:45;="08:43:54";31434;-1;Unknown error;Other;GRID;1135,52;CAPU_GIOV;
 1009; 2020/08/05 08:02:45; 2020/08/05 08:08:45;="00:06:00";360;-1;Unknown error;Other;GRID;-;CAPU_GIOV;
 1026; 2020/08/21 10:27:03; 2020/08/21 11:04:27;="00:37:24";2244;276;[276] - Start auto-outyawing CCW;Yaw_system;OTH;0,00;;
 1032; 2020/08/30 15:03:45; 2020/08/30 15:14:57;="00:11:12";672;148;[148] - High temperature Gen;Temperature;DEV_UN;372,99;;
 1047; 2020/09/02 14:09:16; 2020/09/02 15:01:22;="00:52:06";3126;309;[309] - Pause over RCS;Other;ELE_SC;88,27;MARC_NARD;
 1048; 2020/09/03 08:06:34; 2020/09/03 15:57:46;="07:51:12";28272;309;[309] - Pause over RCS;Other;ELE_SC;325,86;MARC_NARD;
 1085; 2020/09/21 12:06:27; 2020/09/21 15:38:09;="03:31:42";12702;-1;Unknown error;Other;DEV_SC;476,08;GIAN_SOFI;
 1088; 2020/10/03 23:28:55; 2020/10/04 09:29:25;="10:00:30";36030;159;[159] - Ext, RPM guard;Other;DEV_UN;9585,02;;
 1101; 2020/10/20 09:11:39; 2020/10/20 09:25:09;="00:13:30";810;-1;Unknown error;Other;GRID;0,00;GIAN_SOFI;
 1102; 2020/10/21 07:28:15; 2020/10/22 13:48:15;="30:20:00";109200;-1;Unknown error;Other;DEV_SC;277,50;CAPU_GIOV;
 1103; 2020/10/24 16:38:33; 2020/10/25 09:04:36;="17:26:03";62763;352;[352] - Q7 breaker open;Electrical;DEV_UN;1108,35;;
 1104; 2020/10/25 16:20:30; 2020/10/25 17:45:48;="01:25:18";5118;352;[352] - Q7 breaker open;Electrical;DEV_UN;116,66;;
 1109; 2020/10/26 15:14:00; 2020/10/26 17:49:18;="02:35:18";9318;352;[352] - Q7 breaker open;Electrical;DEV_UN;2549,59;;
 1110; 2020/10/28 11:20:24; 2020/10/28 16:56:42;="05:36:18";20178;-1;Unknown error;Other;DEV_SC;67,67;GIAN_SOFI;
 1111; 2020/10/29 07:36:07; 2020/10/29 08:39:25;="01:03:18";3798;-1;Unknown error;Other;DEV_SC;0,00;GIAN_SOFI;
 1131; 2020/11/05 09:02:55; 2020/11/05 09:36:01;="00:33:06";1986;-1;Unknown error;Electrical;GRID;0,00;GASP_STEF;
