Date start:2018/06/22;Date stop:2021/03/10
Device;Date start;Date stop;Duration;Duration (sec);Error code;Description;Nature;Cause;Energy loss(kWh);Modified by
 Abruzzo;;;="3124:49:53";11249393;;;;;1954146,05;;
 SSE Marsica 1;;;="3124:49:53";11249393;;;;;1954146,05;;
 Marsica I;;;="3124:49:53";11249393;;;;;1954146,05;;
 CM1;;;="868:28:04";3126484;;;;;542941,13;;
 6; 2018/07/12 16:55:23; 2018/07/12 19:31:29;="02:36:06";9366;315;[315] - ExEx low voltage L;Electrical;GRID;60,39;;
 11; 2018/07/18 12:15:52; 2018/07/18 13:02:46;="00:46:54";2814;275;[275] - Start auto-outyawing CW;Yaw_system;OTH;0,00;MITO_MICH;
 22; 2018/07/21 07:35:51; 2018/07/21 08:46:51;="01:11:00";4260;315;[315];Electrical;ELE_UN;0,00;MITO_MICH;
 21; 2018/07/21 08:46:51; 2018/07/21 14:50:39;="06:03:48";21828;315;[315];Electrical;DEV_UN;7,54;MITO_MICH;
 23; 2018/07/22 16:30:39; 2018/07/22 19:05:39;="02:35:00";9300;315;[315];Electrical;ELE_UN;71,84;MITO_MICH;
 24; 2018/07/22 19:05:39; 2018/07/23 08:36:09;="13:30:30";48630;315;[315];Electrical;DEV_UN;0,00;MITO_MICH;
 39; 2018/07/31 09:18:19; 2018/07/31 10:47:49;="01:29:30";5370;-1;Unknown error;Other;DEV_SC;36,09;MITO_MICH;
 40; 2018/07/31 12:02:52; 2018/07/31 12:39:09;="00:36:17";2177;309;[309] - Pause over RCS;Other;DEV_SC;149,41;MITO_MICH;
 50; 2018/08/02 19:45:17; 2018/08/02 21:00:00;="01:14:43";4483;315;[315];Other;ELE_UN;21,78;MITO_MICH;
 29; 2018/08/04 17:46:42; 2018/08/04 20:12:48;="02:26:06";8766;315;[315] - ExEx low voltage L;Electrical;ELE_UN;3,19;;
 53; 2018/08/06 14:36:48; 2018/08/06 15:18:48;="00:42:00";2520;899;[899] - Grid volt above stop lim;Electrical;ELE_UN;53,39;;
 54; 2018/08/06 16:10:36; 2018/08/06 17:32:54;="01:22:18";4938;315;[315] - ExEx low voltage L;Electrical;ELE_UN;18,75;;
 55; 2018/08/06 19:05:00; 2018/08/06 20:11:12;="01:06:12";3972;315;[315] - ExEx low voltage L;Electrical;ELE_UN;0,00;;
 56; 2018/08/07 17:25:44; 2018/08/07 17:54:44;="00:29:00";1740;276;[276] - Start auto-outyawing CCW;Yaw_system;OTH;54,24;MITO_MICH;
 57; 2018/08/13 12:02:54; 2018/08/13 12:33:42;="00:30:48";1848;-1;Unknown error;Other;DEV_O;75,71;MITO_MICH;
 79; 2018/08/15 11:32:56; 2018/08/15 12:08:14;="00:35:18";2118;315;[315] - ExEx low voltage L;Electrical;GRID;302,52;;
 80; 2018/08/16 14:25:14; 2018/08/16 15:01:02;="00:35:48";2148;315;[315] - ExEx low voltage L;Electrical;GRID;326,85;;
 81; 2018/08/17 12:03:56; 2018/08/17 12:49:20;="00:45:24";2724;275;[275] - Start auto-outyawing CW;Yaw_system;OTH;9,67;MITO_MICH;
 89; 2018/08/20 13:23:18; 2018/08/20 16:49:18;="03:26:00";12360;315;[315] - ExEx low voltage L;Electrical;GRID;462,18;;
 93; 2018/08/21 20:10:48; 2018/08/21 20:39:00;="00:28:12";1692;275;[275] - Start auto-outyawing CW;Yaw_system;ENV;0,00;;
 98; 2018/08/29 07:08:29; 2018/08/29 15:38:35;="08:30:06";30606;-1;Unknown error;Other;DEV_SC;8,30;GIAN_SOFI;
 99; 2018/08/29 15:38:35; 2018/08/29 15:47:59;="00:09:24";564;-1;Unknown error;Other;DEV_SC;9,09;GIAN_SOFI;
 100; 2018/08/30 07:20:17; 2018/08/30 10:37:53;="03:17:36";11856;-1;Unknown error;Other;DEV_SC;0,00;GIAN_SOFI;
 101; 2018/08/30 10:37:53; 2018/08/30 11:08:41;="00:30:48";1848;-1;Unknown error;Other;DEV_SC;0,00;GIAN_SOFI;
 112; 2018/09/04 17:08:04; 2018/09/04 19:14:36;="02:06:32";7592;334;[334] - High cur, grid inv, L;Electrical;GRID;36,09;;
 118; 2018/09/12 10:22:36; 2018/09/12 11:12:12;="00:49:36";2976;275;[275] - Start auto-outyawing CW;Yaw_system;ENV;12,62;;
 128; 2018/09/13 11:46:54; 2018/09/13 13:37:36;="01:50:42";6642;-1;Unknown error;Other;DEV_UN;0,00;GIAN_SOFI;
 134; 2018/09/15 14:42:46; 2018/09/15 15:39:22;="00:56:36";3396;275;[275] - Start auto-outyawing CW;Yaw_system;ENV;27,63;;
 140; 2018/09/17 17:14:40; 2018/09/17 17:35:10;="00:20:30";1230;315;[315] - ExEx low voltage L;Electrical;GRID;17,99;;
