Date start:22/06/2018;Date stop:31/12/2018
Data;Marsica II.L1.V1.Status.WTG Event;Marsica II.L1.V2.Status.WTG Event;Marsica II.L2.CM2.Status.WTG Event;Marsica II.L2.CM3.Status.WTG Event;Marsica II.L3.G1.Status.WTG Event;Marsica II.L3.G2.Status.WTG Event;Marsica II.L4.MC1.Status.WTG Event;Marsica II.L4.MC2.Status.WTG Event;Marsica II.L5.A1.Status.WTG Event;Marsica II.L5.A4.Status.WTG Event;Marsica II.L5.A6.Status.WTG Event;Marsica II.L6.A2.Status.WTG Event;Marsica II.L6.A3.Status.WTG Event;Marsica II.L6.A5.Status.WTG Event;
2018/06/27 08:50:54;;224;;;;;;;;;;;;;
2018/06/27 08:51:04;;0;;;;;;;;;;;;;
2018/06/28 00:00:38;null;null;null;null;null;null;null;null;null;;;;;null;
2018/06/28 00:00:51;;0;;;;;0;0;;;;;;;
2018/06/28 00:00:56;;;;;;;;;0;;;;;;
2018/06/28 00:00:56;;;;;0;0;;;;;;;;;
2018/06/28 00:00:56;;;;;;;;;;;;;;0;
2018/06/28 00:00:56;0;;;;;;;;;;;;;;
2018/06/28 00:00:59;;;0;0;;;;;;;;;;;
2018/06/28 06:05:20;;;;;;;;;275;;;;;;
2018/06/28 06:33:06;;;;;;;;;224;;;;;;
2018/06/28 06:33:51;;;;;;;;;0;;;;;;
2018/06/28 09:54:45;;;;;;;;;;;;;;275;
2018/06/28 10:22:11;;;;;;;;;;;;;;224;
2018/06/28 10:25:36;;;;;;;;;;;;;;0;
2018/06/28 11:30:00;null;;;;;;;;;;;;;;
2018/06/28 11:30:15;0;;;;;;;;;;;;;;
2018/06/28 11:30:40;null;;;;;;;;;;;;;;
2018/06/28 11:31:00;0;;;;;;;;;;;;;;
2018/06/29 00:00:46;;null;;;;;null;null;;;;;;;
2018/06/29 00:00:46;null;;null;null;null;null;;;null;;;;;null;
2018/06/29 00:00:58;;0;;;;;0;0;;;;;;;
2018/06/29 00:00:59;;;;;0;0;;;;;;;;;
2018/06/29 00:01:00;;;0;0;;;;;;;;;;;
2018/06/29 00:01:00;;;;;;;;;0;;;;;;
2018/06/29 00:01:00;;;;;;;;;;;;;;0;
2018/06/29 00:01:03;0;;;;;;;;;;;;;;
2018/06/29 03:23:02;275;;;;;;;;;;;;;;
2018/06/29 03:49:26;0;;;;;;;;;;;;;;
2018/06/29 13:44:42;;;;;;;;;;;;;;275;
2018/06/29 14:12:12;;;;;;;;;;;;;;224;
2018/06/29 14:22:09;;;;;;;;;;;;;;0;
2018/06/29 14:32:40;0;0;0;0;0;0;0;0;0;;;;;;
2018/06/29 14:32:52;;;;;;;;;;;;;;0;
2018/06/29 16:43:20;;;;275;;;;;;;;;;;
2018/06/29 17:10:54;;;;224;;;;;;;;;;;
2018/06/29 17:14:50;;;;0;;;;;;;;;;;
2018/06/30 00:00:37;null;null;null;null;null;null;null;null;null;;;;;null;
2018/06/30 00:00:48;;0;;;;;0;0;;;;;;;
2018/06/30 00:00:50;;;;;;;;;0;;;;;;
2018/06/30 00:00:50;;;;;0;0;;;;;;;;;
2018/06/30 00:00:51;;;;;;;;;;;;;;0;
2018/06/30 00:00:52;;;0;0;;;;;;;;;;;
2018/06/30 00:00:53;0;;;;;;;;;;;;;;
2018/06/30 07:59:15;null;;;;;;;;;;;;;;
2018/06/30 08:01:10;0;;;;;;;;;;;;;;
2018/06/30 08:01:20;null;;;;;;;;;;;;;;
2018/06/30 08:01:30;0;;;;;;;;;;;;;;
2018/06/30 09:59:44;;;;;;;;;275;;;;;;
2018/06/30 10:27:33;;;;;;;;;224;;;;;;
2018/06/30 10:28:39;;;;;;;;;0;;;;;;
2018/06/30 17:24:37;;;;;;;275;;;;;;;;
2018/06/30 17:28:28;;;;;;;;275;;;;;;;
2018/06/30 17:51:55;;;;;;;224;;;;;;;;
2018/06/30 17:52:35;;;;;;;0;;;;;;;;
2018/06/30 17:56:36;;;;;;;;224;;;;;;;
2018/06/30 17:57:07;;;;;;;;0;;;;;;;
2018/06/30 18:50:12;;275;;;;;;;;;;;;;
2018/06/30 19:18:00;;224;;;;;;;;;;;;;
2018/06/30 19:18:10;;0;;;;;;;;;;;;;
2018/07/01 00:00:37;null;null;null;null;null;null;null;null;null;;;;;null;
2018/07/01 00:00:47;;0;;;;;0;0;;;;;;;
2018/07/01 00:00:49;;;0;0;;;;;;;;;;;
2018/07/01 00:00:50;;;;;0;0;;;;;;;;;
2018/07/01 00:00:50;;;;;;;;;;;;;;0;
2018/07/01 00:00:51;;;;;;;;;0;;;;;;
2018/07/01 00:00:52;0;;;;;;;;;;;;;;
2018/07/02 00:00:37;;null;null;null;null;null;null;null;;;;;;;
2018/07/02 00:00:37;null;;;;;;;;null;;;;;null;
2018/07/02 00:00:47;;0;;;;;0;0;;;;;;;
2018/07/02 00:00:49;;;0;0;;;;;;;;;;;
2018/07/02 00:00:49;;;;;0;0;;;;;;;;;
2018/07/02 00:00:50;;;;;;;;;;;;;;0;
2018/07/02 00:00:52;0;;;;;;;;;;;;;;
2018/07/02 00:00:54;;;;;;;;;0;;;;;;
2018/07/02 10:56:29;null;;;;;;;;;;;;;;
2018/07/02 10:57:29;0;;;;;;;;;;;;;;
2018/07/02 10:57:45;null;;;;;;;;;;;;;;
2018/07/02 10:58:05;0;;;;;;;;;;;;;;
2018/07/02 10:58:25;null;;;;;;;;;;;;;;
2018/07/02 10:58:45;0;;;;;;;;;;;;;;
2018/07/02 19:13:58;190;;;;;;;;;;;;;;
2018/07/02 19:15:03;0;;;;;;;;;;;;;;
2018/07/03 00:00:37;;null;null;;;;null;null;;;;;;;
2018/07/03 00:00:37;null;;;null;null;null;;;null;;;;;null;
2018/07/03 00:00:48;;0;;;;;0;0;;;;;;;
2018/07/03 00:00:50;;;;;0;0;;;;;;;;;
2018/07/03 00:00:50;;;0;0;;;;;;;;;;;
2018/07/03 00:00:51;;;;;;;;;;;;;;0;
2018/07/03 00:00:52;;;;;;;;;0;;;;;;
2018/07/03 00:00:53;0;;;;;;;;;;;;;;
2018/07/03 11:23:10;null;;;;;;;;;;;;;;
2018/07/03 11:29:42;30;;;;;;;;;;;;;;
2018/07/03 11:30:33;0;;;;;;;;;;;;;;
2018/07/03 16:47:57;0;0;;;;;0;0;;;;;;;
2018/07/03 16:47:57;;;0;0;;;;;;;;;;;
